protein1	protein2	combined_score
ENSP00000054650	ENSP00000306522	234
ENSP00000054650	ENSP00000366876	167
ENSP00000054650	ENSP00000366800	261
ENSP00000054650	ENSP00000366886	224
ENSP00000054650	ENSP00000367432	213
ENSP00000054650	ENSP00000262450	215
ENSP00000054650	ENSP00000343552	160
ENSP00000054650	ENSP00000367398	203
ENSP00000054650	ENSP00000367323	169
ENSP00000054666	ENSP00000306522	158
ENSP00000054666	ENSP00000366563	238
ENSP00000054666	ENSP00000340278	340
ENSP00000054666	ENSP00000234590	172
ENSP00000054666	ENSP00000367658	162
ENSP00000054668	ENSP00000366729	164
ENSP00000054668	ENSP00000346088	151
ENSP00000054668	ENSP00000367432	180
ENSP00000054668	ENSP00000317992	167
ENSP00000054668	ENSP00000338629	199
ENSP00000054668	ENSP00000289877	150
ENSP00000054668	ENSP00000234590	185
ENSP00000234488	ENSP00000365775	555
ENSP00000234488	ENSP00000319713	159
ENSP00000234488	ENSP00000367454	288
ENSP00000234590	ENSP00000366977	309
ENSP00000234590	ENSP00000464036	371
ENSP00000234590	ENSP00000347948	299
ENSP00000234590	ENSP00000367013	197
ENSP00000234590	ENSP00000366641	720
ENSP00000234590	ENSP00000304643	304
ENSP00000234590	ENSP00000366620	706
ENSP00000234590	ENSP00000054666	172
ENSP00000234590	ENSP00000366466	407
ENSP00000234590	ENSP00000368699	462
ENSP00000234590	ENSP00000366662	661
ENSP00000234590	ENSP00000366729	177
ENSP00000234590	ENSP00000367668	411
ENSP00000234590	ENSP00000367086	242
ENSP00000234590	ENSP00000354558	232
ENSP00000234590	ENSP00000246421	195
ENSP00000234590	ENSP00000054668	185
ENSP00000234590	ENSP00000338629	356
ENSP00000234590	ENSP00000367629	186
ENSP00000234590	ENSP00000346088	214
ENSP00000234590	ENSP00000367498	457
ENSP00000234590	ENSP00000340278	634
ENSP00000234590	ENSP00000384442	311
ENSP00000234590	ENSP00000367658	436
ENSP00000234590	ENSP00000317992	186
ENSP00000234590	ENSP00000366800	195
ENSP00000234590	ENSP00000368169	150
ENSP00000234590	ENSP00000311766	269
ENSP00000234590	ENSP00000366156	363
ENSP00000234590	ENSP00000235310	151
ENSP00000234590	ENSP00000383698	155
ENSP00000234590	ENSP00000457386	366
ENSP00000234590	ENSP00000270776	661
ENSP00000234590	ENSP00000366410	171
ENSP00000234590	ENSP00000366563	186
ENSP00000235310	ENSP00000366156	194
ENSP00000235310	ENSP00000365944	623
ENSP00000235310	ENSP00000234590	151
ENSP00000235310	ENSP00000366248	169
ENSP00000235310	ENSP00000251547	671
ENSP00000240185	ENSP00000294435	271
ENSP00000240185	ENSP00000366221	264
ENSP00000240185	ENSP00000340278	321
ENSP00000240185	ENSP00000366135	675
ENSP00000240185	ENSP00000383690	461
ENSP00000240185	ENSP00000368699	210
ENSP00000240185	ENSP00000366203	254
ENSP00000240185	ENSP00000354558	215
ENSP00000240185	ENSP00000366418	271
ENSP00000240185	ENSP00000366902	154
ENSP00000240185	ENSP00000366800	280
ENSP00000246421	ENSP00000464036	150
ENSP00000246421	ENSP00000384442	222
ENSP00000246421	ENSP00000288774	164
ENSP00000246421	ENSP00000341082	162
ENSP00000246421	ENSP00000234590	195
ENSP00000246421	ENSP00000367727	209
ENSP00000251547	ENSP00000367454	152
ENSP00000251547	ENSP00000383719	900
ENSP00000251547	ENSP00000365944	901
ENSP00000251547	ENSP00000366886	900
ENSP00000251547	ENSP00000330221	908
ENSP00000251547	ENSP00000426103	901
ENSP00000251547	ENSP00000235310	671
ENSP00000251547	ENSP00000346240	906
